"address","reward_type","claimablerewardstotal","maturatedrewardstotal","maturitydate","targetdatetime","is_latest","weekly_regular_distribution_total","per_week_distribution_amount","num_weeks","distribution_date","claimedrewardssincefinaldispensation","firstweekdistribution_amount"
sif18f80rgwwvzqxtt4whj3jn672f253tcuswn532a,lm,57913.446295358786000000,57913.446295358786000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,57913.446295358786000000
sif1zn43ath8dqsry4wdee7dpw6k9w9rgcyhng99q9,lm,50604.204761732590000000,50604.204761732590000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,50604.204761732590000000
sif1vzfe3cdhm87wd90f2w38mksrz43f4gu65k3tsw,lm,49225.610401836360000000,49225.610401836360000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,49225.610401836360000000
sif1kfvdwtd6p9z4h0ufuezqguc7fqdes302my9kx8,lm,49178.269006623410000000,49178.269006623410000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,49178.269006623410000000
sif1ln6728s5h4687w40rw9kyq4pwlpc05y9qscrec,lm,48367.837891334010000000,48367.837891334010000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,48367.837891334010000000
sif15ll0qknh6dsgmhx24w68dxcnsdqwwjvdg2ld84,lm,48252.000631401510000000,48252.000631401510000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,48252.000631401510000000
sif16p8ycg9y3x8lwavplg7chzc89u53jrtwukwahu,lm,47589.365481628570000000,47589.365481628570000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,47589.365481628570000000
sif1u8594eaw46w4yr3shm9u3q0wyuu4enumqr3xar,lm,46936.152671760785000000,46936.152671760785000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,46936.152671760785000000
sif1l9wklxlr0rm3yxfh87m82kfcr5dwqywzfk58ae,lm,46900.743757743480000000,47477.730060561815000000,2021-08-07 09:28:43,2021-08-05 01:59:59,true,576.986302818335000000,192.328767606111666667,3,"2021-08-15",0.000000000000000000,47093.072525349591666667
sif1fm2qjuak8hxn5fp8j4ekp9xldykp9g0pdn7ur2,lm,45997.844099875394000000,45997.844099875394000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,45997.844099875394000000
sif1mgeu2wl9a5lmzlk6jc7thg3kdhf70gj5nnt7hm,lm,43526.473065501340000000,43526.473065501340000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,43526.473065501340000000
sif1qgl6ej904uyetmefu54a3jrfgw84fg9thh7f2u,lm,39790.105860550910000000,39790.105860550910000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,39790.105860550910000000
sif166cy7zw8xmxv6hhgmtrgzcjme35usp6u8pehmz,lm,39707.906509945750000000,39707.906509945750000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,39707.906509945750000000
sif1yxu747s6wj49q7rf7cav206mqcv2tjlqw2ays5,lm,39321.713138035666000000,39321.713138035666000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,39321.713138035666000000
sif1j49p54exgzsqlpww9f3r4suc87uddjpk65922d,lm,38160.804216541634000000,38160.804216541634000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,38160.804216541634000000
sif1xvp9czehyygdmfa9y67euhjup0pw9jk0r4wqvw,lm,37032.176446887780000000,37032.176446887780000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,37032.176446887780000000
sif1veecvva4vvftvgtlwa4uaaf57y06tjdlfu08sy,lm,36926.989846061080000000,36926.989846061080000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,36926.989846061080000000
sif1qmrcjzskgtlwmfs9pqdrfpmp5l5c8p5r5e702q,lm,33969.414716534930000000,33969.414716534930000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,33969.414716534930000000
sif1vqjvraw9e7u67zhv8wqx87y22dgqj0a2twn24g,lm,32892.335463735680000000,32892.335463735680000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,32892.335463735680000000
sif1fdcdek5hqc3hzwmrr0kv80twzu98j77rgezfsd,lm,30355.552071670365000000,30355.552071670365000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,30355.552071670365000000
sif1th3ujscq5cghp3n2fzd8kjuk2hz972mds2y4d4,lm,29307.688117133035000000,29307.688117133035000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,29307.688117133035000000
sif1t0pdyze7vfu42krk4dl8zxqg89hphwew6jl579,lm,27007.624246877636000000,27007.624246877636000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,27007.624246877636000000
sif1xge8tdw4a8xa6kn75rn5klssqj23judth079c4,lm,24970.499632190305000000,24970.499632190305000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,24970.499632190305000000
sif1n5flpdy8zkdahru6rqtj26cf63h2cgszx4apkk,lm,24781.002318973224000000,25205.498351946582000000,2021-08-11 00:08:43,2021-08-05 01:59:59,true,424.496032973358000000,141.498677657786000000,3,"2021-08-15",0.000000000000000000,24922.500996631010000000
sif1tqs2wjukcx66v0dh0vuuyf8kssp6d52v82vk6q,lm,23911.463054148713000000,23911.463054148713000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,23911.463054148713000000
sif1s024nwnpcrqp4v277tj74fzr8cwwgmh588mlwj,lm,23573.723555039185000000,23573.723555039185000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,23573.723555039185000000
sif142ak8cg8j3xce4kj8dsxndnl2n6x597ahqjcwv,lm,21370.269122226102000000,21370.269122226102000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,21370.269122226102000000
sif1ym853mxulc76h0a2t8d8t90p4r4m46263a843h,lm,21022.888792866597000000,21022.888792866597000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,21022.888792866597000000
